Date,Open
11/1/2019 16:00:00,63.75
11/8/2019 16:00:00,63.81
11/15/2019 16:00:00,65.2
11/22/2019 16:00:00,66.62
11/29/2019 13:00:00,64.81
12/6/2019 16:00:00,65.13
12/13/2019 16:00:00,66.94
12/20/2019 16:00:00,67.75
12/27/2019 16:00:00,67.94
1/3/2020 16:00:00,67.84
1/10/2020 16:00:00,67.58
1/17/2020 16:00:00,71.76
1/24/2020 16:00:00,73.95
1/31/2020 16:00:00,71.58
2/7/2020 16:00:00,73.08
2/14/2020 16:00:00,73.86
2/21/2020 16:00:00,75.72
2/28/2020 16:00:00,71.15
3/6/2020 16:00:00,67.57
3/13/2020 16:00:00,60.25
3/20/2020 16:00:00,54.48
3/27/2020 16:00:00,52.82
4/3/2020 16:00:00,56.63
4/9/2020 16:00:00,56.65
4/17/2020 16:00:00,60.08
4/24/2020 16:00:00,63.49
5/1/2020 16:00:00,64.6
5/8/2020 16:00:00,65.41
5/15/2020 16:00:00,68.84
5/22/2020 16:00:00,68.08
5/29/2020 16:00:00,72.1
6/5/2020 16:00:00,71.29
6/12/2020 16:00:00,71.31
6/19/2020 16:00:00,69.47
6/26/2020 16:00:00,71.25
7/2/2020 16:00:00,68.02
7/10/2020 16:00:00,74.41
7/17/2020 16:00:00,77.5
7/24/2020 16:00:00,75.75
7/31/2020 16:00:00,75.66
8/7/2020 16:00:00,74.55
8/14/2020 16:00:00,74.54
8/21/2020 16:00:00,75.8
8/28/2020 16:00:00,79.62
9/4/2020 16:00:00,82.18
9/11/2020 16:00:00,76.25
9/18/2020 16:00:00,76.58
